country,score,electoral_process_and_pluralism,functioning_of_government,political_participation,political_culture,civil_liberties,regime_type
Argentina,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy
Suriname,6.98,9.17,6.43,6.67,5.00,7.65,Flawed democracy
Jamaica,6.96,8.75,7.14,4.44,6.25,8.24,Flawed democracy
India,6.90,8.67,6.79,6.67,5.63,6.76,Flawed democracy
Brazil,6.86,9.58,5.36,6.11,5.00,8.24,Flawed democracy
Tunisia,6.72,9.17,5.71,7.22,5.63,5.88,Flawed democracy
Philippines,6.64,9.17,5.36,7.22,4.38,7.06,Flawed democracy
Ghana,6.63,8.33,5.71,6.67,6.25,6.18,Flawed democracy
Hungary,6.63,8.75,6.07,5.00,6.25,7.06,Flawed democracy
Poland,6.62,9.17,6.07,6.11,4.38,7.35,Flawed democracy
Peru,6.60,9.17,5.00,5.56,5.63,7.65,Flawed democracy
Croatia,6.57,9.17,6.07,5.56,5.00,7.06,Flawed democracy
Dominican Republic,6.54,9.17,5.36,6.11,5.00,7.06,Flawed democracy
Lesotho,6.54,9.17,4.50,6.67,5.63,6.76,Flawed democracy
Mongolia,6.50,9.17,5.71,5.56,5.00,7.06,Flawed democracy
Romania,6.49,9.17,5.71,5.56,4.38,7.65,Flawed democracy
Indonesia,6.48,7.92,7.14,6.11,5.63,5.59,Flawed democracy
Namibia,6.43,6.58,5.36,6.67,5.63,7.94,Flawed democracy
Serbia,6.41,8.25,5.36,6.11,5.00,7.35,Flawed democracy
Ecuador,6.33,8.75,5.36,6.11,4.38,7.06,Flawed democracy
Thailand,6.32,7.42,5.36,6.11,6.25,6.47,Flawed democracy
Sri Lanka,6.27,7.00,6.07,5.56,6.25,6.47,Flawed democracy
Paraguay,6.24,8.75,5.71,5.00,4.38,7.35,Flawed democracy
El Salvador,6.15,9.17,4.64,6.11,3.75,7.06,Flawed democracy
Guyana,6.15,6.92,5.36,6.11,5.00,7.35,Flawed democracy
Mexico,6.09,7.83,6.07,7.22,3.13,6.18,Flawed democracy
Papua New Guinea,6.03,6.92,6.07,3.89,5.63,7.65,Flawed democracy
Hong Kong,6.02,3.58,4.36,6.11,7.50,8.53,Flawed democracy
Singapore,6.02,3.92,7.86,5.00,6.25,7.06,Flawed democracy
North Macedonia,5.97,7.00,5.36,6.67,3.75,7.06,Hybrid regime
Ukraine,5.90,7.42,2.71,6.67,6.25,6.47,Hybrid regime
Albania,5.89,7.00,5.36,4.44,5.00,7.65,Hybrid regime
Bangladesh,5.88,7.83,6.07,6.11,4.38,5.00,Hybrid regime
Fiji,5.85,6.58,5.36,6.11,5.63,5.59,Hybrid regime
Senegal,5.81,6.08,6.07,4.44,6.25,6.18,Hybrid regime
Moldova,5.75,6.58,4.64,6.11,4.38,7.06,Hybrid regime
Montenegro,5.65,5.67,5.36,6.11,4.38,6.76,Hybrid regime
Madagascar,5.64,7.92,3.57,6.11,5.63,5.00,Hybrid regime
Armenia,5.54,7.50,5.36,6.11,3.13,5.59,Hybrid regime
Malawi,5.50,6.08,4.29,5.00,6.25,5.88,Hybrid regime
Liberia,5.45,7.42,3.07,5.56,5.63,5.59,Hybrid regime
Georgia,5.42,7.83,3.21,6.11,4.38,5.59,Hybrid regime
Honduras,5.42,7.83,4.29,4.44,4.38,6.18,Hybrid regime
Bhutan,5.30,8.75,6.79,2.78,4.38,3.82,Hybrid regime
Nepal,5.28,4.83,5.36,5.00,5.63,5.59,Hybrid regime
Guatemala,5.26,6.92,4.64,3.89,4.38,6.47,Hybrid regime
Kenya,5.18,3.50,5.71,6.67,5.63,4.41,Hybrid regime
Tanzania,5.16,5.75,5.00,5.00,5.63,4.41,Hybrid regime
Morocco,5.10,5.25,4.64,5.56,5.63,4.41,Hybrid regime
Benin,5.09,4.67,5.71,4.44,5.63,5.00,Hybrid regime
Zambia,5.09,4.75,2.93,4.44,6.88,6.47,Hybrid regime
Uganda,5.02,4.33,3.57,4.44,6.88,5.88,Hybrid regime
Mali,4.92,6.42,3.07,3.89,5.63,5.59,Hybrid regime
Kyrgyzstan,4.89,6.08,2.93,6.67,3.75,5.00,Hybrid regime
Bosnia and Herzegovina,4.86,6.17,2.93,5.56,3.75,5.88,Hybrid regime
Sierra Leone,4.86,6.58,2.86,3.33,6.25,5.29,Hybrid regime
Bolivia,4.84,4.75,3.93,5.00,3.75,6.76,Hybrid regime
Haiti,4.57,4.75,2.07,3.89,6.25,5.88,Hybrid regime
Lebanon,4.36,3.92,1.50,6.67,5.00,4.71,Hybrid regime
Gambia,4.33,4.00,4.29,3.33,5.63,4.41,Hybrid regime
Pakistan,4.25,6.08,5.71,2.22,2.50,4.71,Hybrid regime
Nigeria,4.12,5.17,3.93,3.33,3.75,4.41,Hybrid regime
Turkey,4.09,3.08,5.00,5.00,5.00,2.35,Hybrid regime
Ivory Coast,4.05,4.33,2.86,3.33,5.63,4.12,Hybrid regime
Burkina Faso,4.04,3.92,2.71,4.44,5.00,4.12,Hybrid regime
Algeria,4.01,3.08,2.86,5.00,5.00,4.12,Hybrid regime
Jordan,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian
Kuwait,3.93,3.58,4.29,3.89,4.38,3.53,Authoritarian
Mauritania,3.92,3.50,3.57,5.00,3.13,4.41,Authoritarian
Palestine,3.89,3.33,0.14,7.78,4.38,3.82,Authoritarian
Iraq,3.74,5.25,0.00,6.67,5.00,1.76,Authoritarian
Angola,3.72,2.25,2.86,5.56,5.00,2.94,Authoritarian
Mozambique,3.65,2.58,2.14,5.00,5.00,3.53,Authoritarian
Gabon,3.61,2.58,2.21,4.44,5.00,3.82,Authoritarian
Myanmar,3.55,3.08,3.93,2.78,5.63,2.35,Authoritarian
Nicaragua,3.55,1.25,2.86,3.89,5.63,4.12,Authoritarian
Cambodia,3.53,0.83,4.64,3.33,5.63,3.24,Authoritarian
Ethiopia,3.44,0.42,3.57,5.56,5.00,2.65,Authoritarian
Togo,3.30,3.17,1.79,3.33,5.00,3.24,Authoritarian
Niger,3.29,2.92,1.14,3.33,4.38,4.71,Authoritarian
Qatar,3.19,0.00,4.29,2.22,5.63,3.82,Authoritarian
Rwanda,3.16,1.42,4.29,2.78,4.38,2.94,Authoritarian
Zimbabwe,3.16,0.00,2.50,4.44,5.63,3.24,Authoritarian
Comoros,3.15,2.08,2.21,3.89,3.75,3.82,Authoritarian
Eswatini,3.14,0.92,2.86,2.78,5.63,3.53,Authoritarian
Guinea,3.14,3.50,0.43,4.44,4.38,2.94,Authoritarian
Republic of the Congo,3.11,2.17,2.50,3.89,3.75,3.24,Authoritarian
Russia,3.11,2.17,1.79,5.00,2.50,4.12,Authoritarian
Vietnam,3.08,0.00,3.21,3.89,5.63,2.65,Authoritarian
Egypt,3.06,2.67,3.21,3.33,3.75,2.35,Authoritarian
Oman,3.06,0.08,3.93,2.78,4.38,4.12,Authoritarian
Kazakhstan,2.94,0.50,2.14,4.44,4.38,3.24,Authoritarian
Venezuela,2.88,0.00,1.79,5.00,4.38,3.24,Authoritarian
Afghanistan,2.85,3.42,0.64,3.89,2.50,3.82,Authoritarian
Cameroon,2.85,1.67,2.50,3.33,4.38,2.35,Authoritarian
Cuba,2.84,0.00,3.57,3.33,4.38,2.94,Authoritarian
Djibouti,2.77,0.42,1.29,3.89,5.63,2.65,Authoritarian
United Arab Emirates,2.76,0.00,3.93,2.22,5.00,2.65,Authoritarian
Azerbaijan,2.75,0.50,3.21,2.78,3.75,3.53,Authoritarian
Sudan,2.70,0.00,1.79,5.56,5.00,1.18,Authoritarian
Guinea-Bissau,2.63,4.92,0.00,2.78,3.13,2.35,Authoritarian
Bahrain,2.55,0.83,2.71,2.78,4.38,2.06,Authoritarian
Belarus,2.48,0.92,2.00,2.78,4.38,2.35,Authoritarian
Iran,2.38,0.00,2.86,4.44,3.13,1.47,Authoritarian
Eritrea,2.37,0.00,2.14,1.67,6.88,1.18,Authoritarian
China,2.26,0.00,4.29,3.33,2.50,1.18,Authoritarian
Burundi,2.15,0.00,0.07,3.33,5.00,2.35,Authoritarian
Laos,2.14,0.00,2.86,1.67,5.00,1.18,Authoritarian
Libya,2.02,0.00,0.00,2.78,4.38,2.94,Authoritarian
Uzbekistan,2.01,0.08,1.86,2.22,5.00,0.88,Authoritarian
Yemen,1.95,0.00,0.00,3.89,5.00,0.88,Authoritarian
Saudi Arabia,1.93,0.00,2.86,2.22,3.13,1.47,Authoritarian
Tajikistan,1.93,0.08,0.79,1.67,6.25,0.88,Authoritarian
Equatorial Guinea,1.92,0.00,0.43,3.33,4.38,1.47,Authoritarian
Turkmenistan,1.72,0.00,0.79,2.22,5.00,0.59,Authoritarian
Chad,1.61,0.00,0.00,1.67,3.75,2.65,Authoritarian
Syria,1.43,0.00,0.00,2.78,4.38,0.00,Authoritarian
Central African Republic,1.32,1.25,0.00,1.11,1.88,2.35,Authoritarian
Democratic Republic of the Congo,1.13,0.00,0.00,1.67,3.13,0.88,Authoritarian
North Korea,1.08,0.00,2.50,1.67,1.25,0.00,Authoritarian
